name,declared_bits,signed,min,max,required_bits,count,zero_count,zero_ratio
Input,8,0,0,255,8,784000,637090,0.8126147959183674
Conv1 acc math,,1,-63515,229989,19,1728000,745820,0.4316087962962963
Conv1 acc20,20,1,-63515,229989,19,1728000,745820,0.4316087962962963
Conv1 output,12,1,-237,898,11,1728000,255590,0.14791087962962962
Pool1,12,0,0,898,10,432000,203530,0.4711342592592593
Conv2 partial math,,1,-222449,364007,20,576000,66280,0.11506944444444445
Conv2 partial20,20,1,-222449,364007,20,576000,66280,0.11506944444444445
Conv2 full math,,1,-273509,273543,20,192000,0,0.0
Conv2 acc20,20,1,-273509,273543,20,192000,0,0.0
Conv2 internal14,14,1,-4274,4274,14,192000,40,0.00020833333333333335
Conv2 output,12,1,-2047,2039,12,192000,90,0.00046875
Pool2,12,0,0,2039,11,48000,11030,0.22979166666666667
FC input,14,1,0,2039,12,48000,11030,0.22979166666666667
FC acc math,,1,-220301,277523,20,10000,0,0.0
FC acc20,20,1,-220301,277523,20,10000,0,0.0
FC logits,12,1,-2005,2029,12,10000,0,0.0
