image_index,expected,python_pred,rtl_pred,prediction_equal,python_correct,rtl_correct,rtl_cycles
0,0,0,0,1,1,1,901
1,1,1,1,1,1,1,901
2,2,2,2,1,1,1,901
3,3,3,3,1,1,1,901
4,4,4,4,1,1,1,901
5,5,8,8,1,0,0,901
6,6,6,6,1,1,1,901
7,7,7,7,1,1,1,901
8,8,8,8,1,1,1,901
9,9,9,9,1,1,1,901
10,0,0,0,1,1,1,901
11,1,1,1,1,1,1,901
12,2,2,2,1,1,1,901
13,3,3,3,1,1,1,901
14,4,4,4,1,1,1,901
15,5,5,5,1,1,1,901
16,6,6,6,1,1,1,901
17,7,7,7,1,1,1,901
18,8,8,8,1,1,1,901
19,9,9,9,1,1,1,901
20,0,0,0,1,1,1,901
21,1,1,1,1,1,1,901
22,2,2,2,1,1,1,901
23,3,3,3,1,1,1,901
24,4,4,4,1,1,1,901
25,5,5,5,1,1,1,901
26,6,6,6,1,1,1,901
27,7,7,7,1,1,1,901
28,8,8,8,1,1,1,901
29,9,9,9,1,1,1,901
30,0,0,0,1,1,1,901
31,1,1,1,1,1,1,901
32,2,2,2,1,1,1,901
33,3,3,3,1,1,1,901
34,4,4,4,1,1,1,901
35,5,5,5,1,1,1,901
36,6,6,6,1,1,1,901
37,7,7,7,1,1,1,901
38,8,8,8,1,1,1,901
39,9,9,9,1,1,1,901
40,0,0,0,1,1,1,901
41,1,1,1,1,1,1,901
42,2,2,2,1,1,1,901
43,3,3,3,1,1,1,901
44,4,4,4,1,1,1,901
45,5,5,5,1,1,1,901
46,6,6,6,1,1,1,901
47,7,7,7,1,1,1,901
48,8,8,8,1,1,1,901
49,9,9,9,1,1,1,901
50,0,0,0,1,1,1,901
51,1,1,1,1,1,1,901
52,2,2,2,1,1,1,901
53,3,3,3,1,1,1,901
54,4,4,4,1,1,1,901
55,5,5,5,1,1,1,901
56,6,6,6,1,1,1,901
57,7,7,7,1,1,1,901
58,8,8,8,1,1,1,901
59,9,9,9,1,1,1,901
60,0,0,0,1,1,1,901
61,1,1,1,1,1,1,901
62,2,2,2,1,1,1,901
63,3,3,3,1,1,1,901
64,4,4,4,1,1,1,901
65,5,5,5,1,1,1,901
66,6,6,6,1,1,1,901
67,7,7,7,1,1,1,901
68,8,8,8,1,1,1,901
69,9,9,9,1,1,1,901
70,0,0,0,1,1,1,901
71,1,1,1,1,1,1,901
72,2,2,2,1,1,1,901
73,3,3,3,1,1,1,901
74,4,4,4,1,1,1,901
75,5,5,5,1,1,1,901
76,6,6,6,1,1,1,901
77,7,7,7,1,1,1,901
78,8,8,8,1,1,1,901
79,9,9,9,1,1,1,901
80,0,0,0,1,1,1,901
81,1,1,1,1,1,1,901
82,2,2,2,1,1,1,901
83,3,3,3,1,1,1,901
84,4,4,4,1,1,1,901
85,5,5,5,1,1,1,901
86,6,6,6,1,1,1,901
87,7,7,7,1,1,1,901
88,8,8,8,1,1,1,901
89,9,9,9,1,1,1,901
90,0,2,2,1,0,0,901
91,1,1,1,1,1,1,901
92,2,3,3,1,0,0,901
93,3,3,3,1,1,1,901
94,4,4,4,1,1,1,901
95,5,5,5,1,1,1,901
96,6,6,6,1,1,1,901
97,7,7,7,1,1,1,901
98,8,8,8,1,1,1,901
99,9,9,9,1,1,1,901
100,0,0,0,1,1,1,901
101,1,1,1,1,1,1,901
102,2,2,2,1,1,1,901
103,3,3,3,1,1,1,901
104,4,4,4,1,1,1,901
105,5,8,8,1,0,0,901
106,6,6,6,1,1,1,901
107,7,7,7,1,1,1,901
108,8,8,8,1,1,1,901
109,9,9,9,1,1,1,901
110,0,0,0,1,1,1,901
111,1,1,1,1,1,1,901
112,2,2,2,1,1,1,901
113,3,3,3,1,1,1,901
114,4,4,4,1,1,1,901
115,5,5,5,1,1,1,901
116,6,6,6,1,1,1,901
117,7,7,7,1,1,1,901
118,8,8,8,1,1,1,901
119,9,9,9,1,1,1,901
120,0,0,0,1,1,1,901
121,1,1,1,1,1,1,901
122,2,2,2,1,1,1,901
123,3,3,3,1,1,1,901
124,4,4,4,1,1,1,901
125,5,5,5,1,1,1,901
126,6,6,6,1,1,1,901
127,7,7,7,1,1,1,901
128,8,8,8,1,1,1,901
129,9,9,9,1,1,1,901
130,0,0,0,1,1,1,901
131,1,1,1,1,1,1,901
132,2,2,2,1,1,1,901
133,3,3,3,1,1,1,901
134,4,4,4,1,1,1,901
135,5,5,5,1,1,1,901
136,6,6,6,1,1,1,901
137,7,7,7,1,1,1,901
138,8,8,8,1,1,1,901
139,9,9,9,1,1,1,901
140,0,0,0,1,1,1,901
141,1,1,1,1,1,1,901
142,2,2,2,1,1,1,901
